,samp,Sample.ID,Site,Site.Name,Region,Project,Objective,Type,Species_sample,Sample.Type,Site.Status,Month,Year,Site_Num,Date,Vulnerable,Epidemic,Endemic,Sediment,Coral,Water,Zone,Types,Vul_coral,End_coral,Epi_coral,Vul_sed,End_sed,Epi_sed,Vul_wat,End_wat,Epi_wat
CG.SINT2.H,CG.SINT2.H_S3,CG.SINT2.H_S3,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Epidemic,February,2020,2,2/14/20,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
CG.SINT3.H,CG.SINT3.H_S3,CG.SINT3.H_S3,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Epidemic,February,2020,2,2/14/20,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
CG.SINT4.H,CG.SINT4.H_S3,CG.SINT4.H_S3,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Epidemic,February,2020,2,2/14/20,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
CG.SINT5.H,CG.SINT5.H_S3,CG.SINT5.H_S3,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Epidemic,February,2020,2,2/14/20,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
CG.SINT6.H,CG.SINT6.H_S3,CG.SINT6.H_S3,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Epidemic,February,2020,2,2/14/20,0,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0
CG.1.S,CG.1.S_S6,CG.1.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.10.S,CG.10.S_S6,CG.10.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.12.S,CG.12.S_S6,CG.12.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.2.S,CG.2.S_S6,CG.2.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.3.S,CG.3.S_S6,CG.3.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.4.S,CG.4.S_S6,CG.4.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.5.S,CG.5.S_S6,CG.5.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.6.S,CG.6.S_S6,CG.6.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.7.S,CG.7.S_S6,CG.7.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG.9.S,CG.9.S_S6,CG.9.S_S6,NA,Cliff.Green,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Epidemic,February,2020,2,2/12/20,0,1,0,1,0,0,3,3,0,0,0,0,0,1,0,0,0
CG10.W,CG10.W_S8,CG10.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG11.W,CG11.W_S8,CG11.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG12.W,CG12.W_S8,CG12.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG2.W,CG2.W_S8,CG2.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG3.W,CG3.W_S8,CG3.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG4.W,CG4.W_S8,CG4.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG5.W,CG5.W_S8,CG5.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG6.W,CG6.W_S8,CG6.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG8.W,CG8.W_S8,CG8.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
CG9.W,CG9.W_S8,CG9.W_S8,NA,Cliff.Green,Lower Keys,EPA2,water,Water,Water,NA,Epidemic,February,2020,2,2/12/20,0,1,0,0,0,1,3,2,0,0,0,0,0,0,0,0,1
XP.MCAV.En1,XP.MCAV.En1_S5,XP.MCAV.En1_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.MCAV.En2,XP.MCAV.En2_S5,XP.MCAV.En2_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.MCAV.En3,XP.MCAV.En3_S5,XP.MCAV.En3_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.MCAV.En4,XP.MCAV.En4_S5,XP.MCAV.En4_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.MCAV.En5,XP.MCAV.En5_S5,XP.MCAV.En5_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.MCAV.En6,XP.MCAV.En6_S5,XP.MCAV.En6_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En1,XP.OFAV.En1_S5,XP.OFAV.En1_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En2,XP.OFAV.En2_S5,XP.OFAV.En2_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En3,XP.OFAV.En3_S5,XP.OFAV.En3_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En4,XP.OFAV.En4_S5,XP.OFAV.En4_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En5,XP.OFAV.En5_S5,XP.OFAV.En5_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.OFAV.En6,XP.OFAV.En6_S5,XP.OFAV.En6_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En1,XP.PSTR.En1_S5,XP.PSTR.En1_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En2,XP.PSTR.En2_S5,XP.PSTR.En2_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En3,XP.PSTR.En3_S5,XP.PSTR.En3_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En4,XP.PSTR.En4_S5,XP.PSTR.En4_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En5,XP.PSTR.En5_S5,XP.PSTR.En5_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.PSTR.En6,XP.PSTR.En6_S5,XP.PSTR.En6_S5,Site-G,Xesto.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
XP.En1.S,XP.En1.S_S7,XP.En1.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En10.S,XP.En10.S_S7,XP.En10.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En12.S,XP.En12.S_S7,XP.En12.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En2.S,XP.En2.S_S7,XP.En2.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En3.S,XP.En3.S_S7,XP.En3.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En5.S,XP.En5.S_S7,XP.En5.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En6.S,XP.En6.S_S7,XP.En6.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En7.S,XP.En7.S_S7,XP.En7.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En8.S,XP.En8.S_S7,XP.En8.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En9.S,XP.En9.S_S7,XP.En9.S_S7,Site-G,Xesto.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
XP.En1.W,XP.En1.W_S8,XP.En1.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En10.W,XP.En10.W_S8,XP.En10.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En11.W,XP.En11.W_S8,XP.En11.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En12.W,XP.En12.W_S8,XP.En12.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En3.W,XP.En3.W_S8,XP.En3.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En4.W,XP.En4.W_S8,XP.En4.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En5.W,XP.En5.W_S8,XP.En5.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En6.W,XP.En6.W_S8,XP.En6.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En8.W,XP.En8.W_S8,XP.En8.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
XP.En9.W,XP.En9.W_S8,XP.En9.W_S8,Site-G,Xesto.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.MCAV.En1,LP.MCAV.En1_S5,LP.MCAV.En1_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.MCAV.En2,LP.MCAV.En2_S5,LP.MCAV.En2_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.MCAV.En3,LP.MCAV.En3_S5,LP.MCAV.En3_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.MCAV.En4,LP.MCAV.En4_S5,LP.MCAV.En4_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.MCAV.En5,LP.MCAV.En5_S5,LP.MCAV.En5_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.MCAV.En6,LP.MCAV.En6_S5,LP.MCAV.En6_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,MCAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En1,LP.OFAV.En1_S5,LP.OFAV.En1_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En2,LP.OFAV.En2_S5,LP.OFAV.En2_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En3,LP.OFAV.En3_S5,LP.OFAV.En3_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En4,LP.OFAV.En4_S5,LP.OFAV.En4_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En5,LP.OFAV.En5_S5,LP.OFAV.En5_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.OFAV.En6,LP.OFAV.En6_S5,LP.OFAV.En6_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,OFAV,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En1,LP.PSTR.En1_S5,LP.PSTR.En1_S5,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En2,LP.PSTR.En2_S6,LP.PSTR.En2_S6,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En3,LP.PSTR.En3_S6,LP.PSTR.En3_S6,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En4,LP.PSTR.En4_S6,LP.PSTR.En4_S6,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En5,LP.PSTR.En5_S6,LP.PSTR.En5_S6,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.PSTR.En6,LP.PSTR.En6_S6,LP.PSTR.En6_S6,Site-H,Lindsays.Patch,Lower Keys,EPA2,cor,Coral,PSTR,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
LP.En1.S,LP.En1.S_S7,LP.En1.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En2.S,LP.En2.S_S7,LP.En2.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En3.S,LP.En3.S_S7,LP.En3.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En4.S,LP.En4.S_S7,LP.En4.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En5.S,LP.En5.S_S7,LP.En5.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En6.S,LP.En6.S_S7,LP.En6.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/12/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En7.S,LP.En7.S_S7,LP.En7.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/13/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En8.S,LP.En8.S_S7,LP.En8.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/13/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En10.S,LP.En10.S_S7,LP.En10.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/13/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En12.S,LP.En12.S_S7,LP.En12.S_S7,Site-H,Lindsays.Patch,Lower Keys,EPA2,sed,Sediment,Sediment,NA,Endemic,February,2021,3,2/13/21,0,0,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0
LP.En1.W,LP.En1.W_S8,LP.En1.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En2.W,LP.En2.W_S8,LP.En2.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En3.W,LP.En3.W_S8,LP.En3.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En4.W,LP.En4.W_S8,LP.En4.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En6.W,LP.En6.W_S8,LP.En6.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/12/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En7.W,LP.En7.W_S8,LP.En7.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/13/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En8.W,LP.En8.W_S8,LP.En8.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/13/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En9.W,LP.En9.W_S8,LP.En9.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/13/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En10.W,LP.En10.W_S8,LP.En10.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/13/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
LP.En12.W,LP.En12.W_S8,LP.En12.W_S8,Site-H,Lindsays.Patch,Lower Keys,EPA2,water,Water,Water,NA,Endemic,February,2021,3,2/13/21,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0
CG.DSTO.En1,CG.DSTO.En1_S6,CG.DSTO.En1_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.DSTO.En2,CG.DSTO.En2_S6,CG.DSTO.En2_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.DSTO.En3,CG.DSTO.En3_S6,CG.DSTO.En3_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.DSTO.En4,CG.DSTO.En4_S6,CG.DSTO.En4_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.DSTO.En5,CG.DSTO.En5_S6,CG.DSTO.En5_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.DSTO.En6,CG.DSTO.En6_S6,CG.DSTO.En6_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,DSTO,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.SINT.En1,CG.SINT.En1_S6,CG.SINT.En1_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.SINT.En2,CG.SINT.En2_S6,CG.SINT.En2_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
CG.SINT.En3,CG.SINT.En3_S6,CG.SINT.En3_S6,NA,Cliff.Green,Lower Keys,EPA2,cor,Coral,SINT,Healthy,Endemic,February,2021,3,2/12/21,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
